tec_name,label,sentence
/etc/passwd and /etc/shadow,0,Adversaries may attempt to dump the contents of /etc/passwd and /etc/shadow to enable offline password cracking.
/etc/passwd and /etc/shadow,0,Most modern Linux operating systems use a combination of /etc/passwd and /etc/shadow to store user account information including password hashes in /etc/shadow.
/etc/passwd and /etc/shadow,0,"By default, /etc/shadow is only readable by the root user."
/etc/passwd and /etc/shadow,0,"The Linux utility, unshadow, can be used to combine the two files in a format suited for password cracking utilities such as John the Ripper: # /usr/bin/unshadow /etc/passwd /etc/shadow > /tmp/crack.password.db"
ARP Cache Poisoning,1,Adversaries may poison Address Resolution Protocol  caches to position themselves between the communication of two or more networked devices.
ARP Cache Poisoning,1,This activity may be used to enable follow-on behaviors such as Network Sniffing or Transmitted Data Manipulation.
ARP Cache Poisoning,1,"The ARP protocol is used to resolve IPv4 addresses to link layer addresses, such as a media access control  address."
ARP Cache Poisoning,1,Devices in a local network segment communicate with each other by using link layer addresses.
ARP Cache Poisoning,1,"If a networked device does not have the link layer address of a particular networked device, it may send out a broadcast ARP request to the local network to translate the IP address to a MAC address."
ARP Cache Poisoning,1,The device with the associated IP address directly replies with its MAC address.
ARP Cache Poisoning,1,The networked device that made the ARP request will then use as well as store that information in its ARP cache.
ARP Cache Poisoning,1,An adversary may passively wait for an ARP request to poison the ARP cache of the requesting device.
ARP Cache Poisoning,1,"The adversary may reply with their MAC address, thus deceiving the victim by making them believe that they are communicating with the intended networked device."
ARP Cache Poisoning,1,"For the adversary to poison the ARP cache, their reply must be faster than the one made by the legitimate IP address owner."
ARP Cache Poisoning,1,Adversaries may also send a gratuitous ARP reply that maliciously announces the ownership of a particular IP address to all the devices in the local network segment.
ARP Cache Poisoning,1,The ARP protocol is stateless and does not require authentication.
ARP Cache Poisoning,1,"Therefore, devices may wrongly add or update the MAC address of the IP address in their ARP cache."
ARP Cache Poisoning,1,Adversaries may use ARP cache poisoning as a means to intercept network traffic.
ARP Cache Poisoning,1,"This activity may be used to collect and/or relay data such as credentials, especially those sent over an insecure, unencrypted protocol."
ARP Cache Poisoning,1,Cleaver has used custom tools to facilitate ARP cache poisoning.
AS-REP Roasting,2,Adversaries may reveal credentials of accounts that have disabled Kerberos preauthentication by Password Cracking Kerberos messages.
AS-REP Roasting,2,Preauthentication offers protection against offline Password Cracking.
AS-REP Roasting,2,"When enabled, a user requesting access to a resource initiates communication with the Domain Controller  by sending an Authentication Server Request  message with a timestamp that is encrypted with the hash of their password."
AS-REP Roasting,2,"If and only if the DC is able to successfully decrypt the timestamp with the hash of the user’s password, it will then send an Authentication Server Response  message that contains the Ticket Granting Ticket  to the user."
AS-REP Roasting,2,Part of the AS-REP message is signed with the user’s password.
